"PSH1037";"Sterilization";"http://id.loc.gov/authorities/sh85128026#concept";"skos:exactMatch"
"PSH10371";"Arches";"http://id.loc.gov/authorities/sh85006530#concept";"skos:exactMatch"
"PSH10375";"Shells";"http://id.loc.gov/authorities/sh85121304#concept";"skos:exactMatch"
"PSH10397";"Reservoirs";"http://id.loc.gov/authorities/sh85113074#concept";"skos:exactMatch"
"PSH10399";"Tunnels";"http://id.loc.gov/authorities/sh85138674#concept";"skos:exactMatch"
"PSH10412";"Stone";"http://id.loc.gov/authorities/sh85128287#concept";"skos:exactMatch"
"PSH10414";"Bricks";"http://id.loc.gov/authorities/sh85016808#concept";"skos:exactMatch"
"PSH10423";"Limes";"http://id.loc.gov/authorities/sh85077004#concept";"skos:exactMatch"
"PSH10427";"Mortars";"http://id.loc.gov/authorities/sh85087380#concept";"skos:exactMatch"
"PSH10435";"Bridges";"http://id.loc.gov/authorities/sh85016829#concept";"skos:exactMatch"
"PSH10444";"Chimneys";"http://id.loc.gov/authorities/sh85023968#concept";"skos:exactMatch"
"PSH10445";"Silos";"http://id.loc.gov/authorities/sh85122574#concept";"skos:exactMatch"
"PSH10456";"Heating";"http://id.loc.gov/authorities/sh00006015#concept";"skos:exactMatch"
"PSH10474";"Sanitation";"http://id.loc.gov/authorities/sh00007929#concept";"skos:exactMatch"
"PSH10485";"Ventilation";"http://id.loc.gov/authorities/sh85142747#concept";"skos:exactMatch"
"PSH1049";"Transportation";"http://id.loc.gov/authorities/sh85137027#concept";"skos:exactMatch"
"PSH10530";"Gables";"http://id.loc.gov/authorities/sh85052655#concept";"skos:exactMatch"
"PSH10536";"Walls";"http://id.loc.gov/authorities/sh85144957#concept";"skos:exactMatch"
"PSH10541";"Ceilings";"http://id.loc.gov/authorities/sh85021607#concept";"skos:exactMatch"
"PSH10552";"Caissons";"http://id.loc.gov/authorities/sh85018718#concept";"skos:exactMatch"
"PSH10553";"Roofs";"http://id.loc.gov/authorities/sh85115332#concept";"skos:exactMatch"
"PSH10556";"Sheds";"http://id.loc.gov/authorities/sh98007361#concept";"skos:exactMatch"
"PSH10565";"Floors";"http://id.loc.gov/authorities/sh85049184#concept";"skos:exactMatch"
"PSH10566";"Pavements";"http://id.loc.gov/authorities/sh85098835#concept";"skos:exactMatch"
"PSH10570";"Holes";"http://id.loc.gov/authorities/sh85061447#concept";"skos:exactMatch"
"PSH10571";"Windows";"http://id.loc.gov/authorities/sh85146940#concept";"skos:exactMatch"
"PSH10575";"Stairs";"http://id.loc.gov/authorities/sh85127267#concept";"skos:exactMatch"
"PSH10576";"Ladders";"http://id.loc.gov/authorities/sh85073884#concept";"skos:exactMatch"
"PSH10578";"Fences";"http://id.loc.gov/authorities/sh85047778#concept";"skos:exactMatch"
"PSH10610";"Roofing";"http://id.loc.gov/authorities/sh85115317#concept";"skos:exactMatch"
"PSH10635";"Fires";"http://id.loc.gov/authorities/sh85048572#concept";"skos:exactMatch"
